ts_datetime,ts_frc,ts_wattemp,ts_cond,hh_datetime,hh_frc
2021-05-21T07:30:00,0.06,22.8,403,2021-05-21T13:06:00,0.01
2021-05-21T07:34:00,0.71,21.5,457,2021-05-21T13:43:00,0.63
2021-05-21T07:46:00,0.88,22.7,317,2021-05-21T13:52:00,0.31
2021-05-21T07:51:00,0.61,21.9,509,2021-05-21T14:37:00,0.12
2021-05-21T07:51:00,0.04,25.5,414,2021-05-21T13:10:00,0.03
2021-05-21T08:00:00,1.36,23.7,358,2021-05-21T14:05:00,0.98
2021-05-21T08:18:00,0.03,24.8,408,2021-05-21T13:21:00,0.01
2021-05-21T08:21:00,0.62,21.6,523,2021-05-21T14:40:00,0.23
2021-05-21T08:38:00,0.01,24.2,356,2021-05-21T13:40:00,0.01
2021-05-21T09:18:00,0.01,24.4,374,2021-05-21T14:20:00,0.01
2021-05-24T06:30:00,0.41,23.2,337,2021-05-24T13:00:00,0.11
2021-05-24T06:43:00,0.57,23.5,449,2021-05-24T13:12:00,0.37
2021-05-24T06:54:00,0.6,23.1,393,2021-05-24T13:38:00,0.05
2021-05-24T06:57:00,0.66,23.4,443,2021-05-24T13:21:00,0.1
2021-05-24T07:07:00,0.67,23.2,513,2021-05-24T13:43:00,0.3
2021-05-24T07:13:00,0.77,21.8,420,2021-05-24T13:35:00,0.36
2021-05-24T07:21:00,0.68,23.2,521,2021-05-24T13:49:00,0.31
2021-05-24T07:21:00,0.65,22.3,532,2021-05-24T14:09:00,0.21
2021-05-24T07:26:00,0.06,22.6,514,2021-05-24T13:24:00,0.01
2021-05-24T07:31:00,0.46,22.8,433,2021-05-24T13:48:00,0.24
2021-05-24T07:38:00,0.48,22.2,511,2021-05-24T14:31:00,0.19
2021-05-24T07:47:00,0.48,23.1,419,2021-05-24T14:04:00,0.11
2021-05-24T07:49:00,0.65,22.2,507,2021-05-24T14:37:00,0.34
2021-05-24T07:50:00,0.06,21.2,485,2021-05-24T13:30:00,0.01
2021-05-24T07:50:00,0.45,21.8,519,2021-05-24T13:56:00,0.42
2021-05-24T07:59:00,0.57,20.3,528,2021-05-24T14:41:00,0.15
2021-05-24T08:02:00,0.65,20.9,507,2021-05-24T13:59:00,0.45
2021-05-24T08:05:00,0.03,22.8,467,2021-05-24T13:35:00,0.02
2021-05-24T08:08:00,0.59,23,421,2021-05-24T14:14:00,0.4
2021-05-24T08:10:00,0.47,21.5,514,2021-05-24T14:50:00,0.08
2021-05-24T08:22:00,0.03,23.4,495,2021-05-24T13:37:00,0.01
2021-05-24T08:22:00,0.45,23.9,451,2021-05-24T14:26:00,0.19
2021-05-24T08:40:00,0.4,23.5,450,2021-05-25T07:56:00,0.17
2021-05-24T08:44:00,0.01,23.5,497,2021-05-24T14:46:00,0.01
2021-05-24T09:00:00,0.37,23.9,410,2021-05-25T08:13:00,0.1
2021-05-24T09:20:00,0.33,24.3,413,2021-05-25T08:30:00,0.14
2021-05-24T09:35:00,0.55,24.5,436,2021-05-25T08:39:00,0.48
2021-05-25T06:33:00,0.48,22.2,456,2021-05-25T13:10:00,0.29
2021-05-25T06:47:00,0.41,22.8,426,2021-05-25T13:19:00,0.12
2021-05-25T06:57:00,0.42,21.9,435,2021-05-25T13:30:00,0.16
2021-05-25T06:58:00,0.06,22.3,414,2021-05-25T12:35:00,0.04
2021-05-25T06:58:00,0.53,21.7,601,2021-05-25T13:23:00,0.21
2021-05-25T07:09:00,0.39,22.4,420,2021-05-25T13:37:00,0.29
2021-05-25T07:12:00,0.82,22.4,429,2021-05-25T14:07:00,0.15
2021-05-25T07:17:00,0.51,18.9,506,2021-05-25T13:31:00,0.05
2021-05-25T07:21:00,0.04,22.2,420,2021-05-25T12:45:00,0.01
2021-05-25T07:22:00,0.41,23.5,438,2021-05-25T13:49:00,0.25
2021-05-25T07:25:00,0.7,20.9,418,2021-05-25T14:22:00,0.08
