ts_datetime,ts_frc,ts_wattemp,ts_cond,hh_datetime,hh_frc
2019-08-03T03:45:00,0.76,27.8,331,2019-08-03T09:38:00,0.44
2019-08-03T04:01:00,0.64,27,297.82,2019-08-03T09:01:00,0.52
2019-08-03T04:02:00,0.74,27,331,2019-08-03T09:52:00,0.34
2019-08-03T04:13:00,0.97,27.1,297.82,2019-08-03T09:12:00,0.65
2019-08-03T09:04:00,0.68,27.6,296,2019-08-04T01:12:00,0.32
2019-08-03T09:17:00,0.63,27.3,293,2019-08-04T01:26:00,0.11
2019-08-03T09:29:00,0.67,27.3,290,2019-08-04T01:41:00,0.28
2019-08-03T09:45:00,0.65,28,292,2019-08-04T02:01:00,0.53
2019-08-03T10:06:00,0.75,27.5,290,2019-08-04T02:14:00,0.04
2019-08-04T02:18:00,0.86,27.7,297.82,2019-08-04T08:09:00,0.57
2019-08-04T02:27:00,1.45,27.2,335,2019-08-04T08:49:00,0.99
2019-08-04T02:42:00,0.9,27.4,297.82,2019-08-04T08:21:00,0.84
2019-08-04T02:44:00,1.16,27.2,334,2019-08-04T09:15:00,0.49
2019-08-04T02:53:00,0.92,27.4,297.82,2019-08-04T08:31:00,0.67
2019-08-04T02:55:00,1.09,28,331,2019-08-04T09:06:00,0.69
2019-08-04T03:10:00,0.94,28,297.82,2019-08-04T08:42:00,0.65
2019-08-04T03:10:00,1.64,27.3,335,2019-08-04T08:57:00,1.1
2019-08-04T03:22:00,1.29,28,334,2019-08-04T09:24:00,0.78
2019-08-04T03:23:00,0.97,27.7,297.82,2019-08-04T08:52:00,0.57
2019-08-04T09:37:00,0.77,28.1,293,2019-08-05T02:00:00,0.02
2019-08-04T09:51:00,0.72,29,294,2019-08-05T02:31:00,0.36
2019-08-04T10:06:00,0.64,28.3,291,2019-08-05T01:37:00,0.48
2019-08-04T10:19:00,0.64,28.5,297,2019-08-05T01:16:00,0.15
2019-08-04T10:30:00,0.48,28.4,292,2019-08-05T01:27:00,0.04
2019-08-05T02:24:00,0.78,27.6,297.82,2019-08-05T08:27:00,0.56
2019-08-05T02:39:00,0.63,28.7,488,2019-08-05T08:51:00,0.23
2019-08-05T02:39:00,0.8,27.4,297.82,2019-08-05T08:53:00,0.59
2019-08-05T02:47:00,0.55,27.9,297.82,2019-08-05T09:05:00,0.36
2019-08-05T02:51:00,0.78,28.2,374,2019-08-05T08:59:00,0.59
2019-08-05T03:01:00,0.65,28.2,297.82,2019-08-05T09:18:00,0.45
2019-08-05T03:06:00,0.69,27.9,356,2019-08-05T09:08:00,0.24
2019-08-05T03:13:00,0.79,27.9,297.82,2019-08-05T09:28:00,0.46
2019-08-05T03:22:00,0.8,27.7,390,2019-08-05T09:17:00,0.45
2019-08-05T03:23:00,0.71,28.5,297.82,2019-08-05T09:47:00,0.52
2019-08-05T03:32:00,0.8,27.5,376,2019-08-05T09:30:00,0.5
2019-08-05T03:49:00,0.47,29.9,329,2019-08-05T09:37:00,0.31
2019-08-05T09:47:00,0.79,29.1,300,2019-08-06T01:37:00,0.03
2019-08-05T09:56:00,0.87,28.3,293,2019-08-06T01:44:00,0.48
2019-08-05T10:08:00,0.81,29,293,2019-08-06T01:56:00,0.49
2019-08-05T10:16:00,0.67,28.5,293,2019-08-06T02:10:00,0.2
2019-08-05T10:34:00,0.81,28.3,293,2019-08-06T02:20:00,0.52
2019-08-05T10:44:00,0.84,28.3,292,2019-08-06T02:32:00,0.12
2019-08-06T02:04:00,0.64,27.6,297.82,2019-08-06T08:25:00,0.33
2019-08-06T02:10:00,0.57,27.5,409,2019-08-06T08:34:00,0.37
2019-08-06T02:23:00,0.58,28.2,411,2019-08-06T08:50:00,0.49
2019-08-06T02:31:00,0.67,27.7,297.82,2019-08-06T08:34:00,0.34
2019-08-06T02:42:00,0.65,28,377,2019-08-06T08:59:00,0.51
2019-08-06T02:45:00,0.54,27.4,297.82,2019-08-06T08:47:00,0.28
2019-08-06T03:01:00,0.66,27.4,297.82,2019-08-06T08:59:00,0.29
2019-08-06T03:07:00,0.89,29.3,353,2019-08-06T09:22:00,0.63
2019-08-06T03:15:00,0.45,27.4,297.82,2019-08-06T09:11:00,0.15
2019-08-06T03:17:00,0.7,28.3,357,2019-08-06T09:34:00,0.38
2019-08-06T03:29:00,0.48,27.9,297.82,2019-08-06T09:24:00,0.25
2019-08-06T03:29:00,0.73,28.3,311,2019-08-06T09:48:00,0.28
2019-08-06T09:30:00,0.41,27.9,296,2019-08-07T02:11:00,0.03
2019-08-06T09:44:00,0.5,27.6,292,2019-08-07T02:05:00,0.47
