ts_datetime,ts_frc,ts_wattemp,ts_cond,hh_datetime,hh_frc
2021-08-24T09:17:00,1,29.3,314,2021-08-24T12:09:00,0.2
2021-08-24T09:21:00,1,29.9,318,2021-08-24T12:18:00,0.2
2021-08-24T12:36:00,1,30.8,300,2021-08-24T14:40:00,0.8
2021-08-24T12:40:00,1,30.6,307,2021-08-24T15:00:00,0.4
2021-08-24T12:49:00,1,30.7,303,2021-08-24T15:18:00,0.5
2021-08-24T12:53:00,1,31.2,301,2021-08-24T15:30:00,0.2
2021-08-24T12:55:00,1,30.9,305,2021-08-24T15:42:00,0.3
2021-08-25T09:18:00,1,30.2,299,2021-08-25T11:03:00,0.8
2021-08-25T09:20:00,1,30.6,301,2021-08-25T11:28:00,0.7
2021-08-25T09:22:00,1,30.8,303,2021-08-25T11:50:00,0.8
2021-08-25T09:25:00,1,30.8,302,2021-08-25T12:13:00,0.3
2021-08-25T09:30:00,1,30.4,298,2021-08-25T12:16:00,0.3
2021-08-25T12:34:00,1,30.7,293,2021-08-25T14:32:00,0.6
2021-08-25T12:40:00,1,32.2,290,2021-08-25T14:46:00,0.7
2021-08-25T12:45:00,1,30.9,289,2021-08-25T15:02:00,0.6
2021-08-25T12:50:00,1,31,286,2021-08-25T15:10:00,0.3
2021-08-25T12:56:00,1,31.1,286,2021-08-25T15:25:00,0.2
2021-08-26T09:13:00,1,27.3,291,2021-08-26T11:20:00,0.5
2021-08-26T09:16:00,1,27,290,2021-08-26T11:35:00,0.3
2021-08-26T09:22:00,1,27.4,289,2021-08-26T11:51:00,0.3
2021-08-26T09:24:00,1,27.5,288,2021-08-26T12:11:00,0.2
2021-08-26T09:29:00,1,27.2,292,2021-08-26T12:19:00,0.2
2021-08-26T12:42:00,1,26.4,282,2021-08-26T14:52:00,0.6
2021-08-26T12:45:00,1,26.6,280,2021-08-26T14:59:00,0.4
2021-08-26T12:48:00,1,26.4,280,2021-08-26T15:06:00,0.2
2021-08-26T12:52:00,1,26.4,284,2021-08-26T15:11:00,0.2
2021-08-26T12:53:00,1,26.3,282,2021-08-26T15:16:00,0.1
2021-08-27T09:13:00,1,29,284,2021-08-27T11:11:00,0.6
2021-08-27T09:15:00,1,29.2,289,2021-08-27T11:29:00,0.3
2021-08-27T09:17:00,1,29.4,285,2021-08-27T11:50:00,0.2
2021-08-27T09:20:00,1,29.4,282,2021-08-27T12:13:00,0.1
2021-08-27T09:24:00,1,29.6,281,2021-08-27T12:26:00,0.1
2021-08-27T12:39:00,1,29.6,293,2021-08-27T14:33:00,0.6
2021-08-27T12:43:00,1,30.8,289,2021-08-27T15:00:00,0.6
2021-08-27T12:49:00,1,31,285,2021-08-27T15:12:00,0.4
2021-08-27T12:50:00,1,31.3,290,2021-08-27T15:27:00,0.1
2021-08-27T12:53:00,1,30.9,283,2021-08-27T15:39:00,0.2
2021-08-28T09:02:00,1,28.2,258,2021-08-28T11:23:00,0.5
2021-08-28T09:08:00,1,28.3,260,2021-08-28T11:41:00,0.6
2021-08-28T09:12:00,1,27.9,254,2021-08-28T12:05:00,0.4
2021-08-28T09:19:00,1,28.3,255,2021-08-28T12:17:00,0.3
2021-08-28T09:23:00,1,28,253,2021-08-28T12:27:00,0.3
2021-08-28T12:45:00,1,29.5,248,2021-08-28T14:37:00,0.7
2021-08-28T12:48:00,1,30.3,252,2021-08-28T14:46:00,0.5
2021-08-28T12:50:00,1,30.8,256,2021-08-28T14:47:00,0.6
2021-08-28T12:52:00,1,31,249,2021-08-28T14:52:00,0.3
2021-08-28T12:55:00,1,31.3,250,2021-08-28T14:58:00,0.1
2021-08-29T09:14:00,1,27.4,186,2021-08-29T11:15:00,0.5
2021-08-29T09:15:00,1,27.3,194,2021-08-29T11:33:00,0.4
2021-08-29T09:20:00,1,27,198,2021-08-29T11:46:00,0.4
2021-08-29T09:23:00,1,27.7,185,2021-08-29T11:58:00,0.2
2021-08-29T09:26:00,1,27.5,190,2021-08-29T12:15:00,0.1
2021-08-29T12:34:00,1,29.7,159,2021-08-29T14:37:00,0.4
2021-08-29T12:39:00,1,31.7,159,2021-08-29T14:59:00,0.6
2021-08-29T12:41:00,1,31.5,157,2021-08-29T15:12:00,0.4
2021-08-29T12:45:00,1,29.8,153,2021-08-29T15:23:00,0.2
2021-08-29T12:49:00,1,29.9,152,2021-08-29T15:35:00,0.2
2021-09-02T09:00:00,1,27.6,180,2021-09-02T11:20:00,0.8
2021-09-02T09:12:00,1,27.3,178,2021-09-02T11:39:00,0.7
2021-09-02T09:14:00,1,27.5,177,2021-09-02T12:00:00,0.6
2021-09-02T09:24:00,1,27.5,178,2021-09-02T12:17:00,0.5
2021-09-02T09:26:00,1,27.7,178,2021-09-02T12:30:00,0.3
2021-09-02T12:45:00,1,30.9,160,2021-09-02T14:36:00,0.6
2021-09-02T12:48:00,1,31.2,158,2021-09-02T14:52:00,0.4
2021-09-02T12:50:00,1,31.1,157,2021-09-02T15:14:00,0.4
2021-09-02T12:52:00,1,31.1,156,2021-09-02T15:36:00,0.4
2021-09-02T12:55:00,1,31,156,2021-09-02T15:57:00,0.2
2021-09-03T09:12:00,1,26.5,174,2021-09-03T11:15:00,0.5
2021-09-03T09:16:00,1,26.6,176,2021-09-03T11:31:00,0.6
2021-09-03T09:20:00,1,26.6,175,2021-09-03T11:42:00,0.5
2021-09-03T09:24:00,1,26.8,175,2021-09-03T12:03:00,0.4
2021-09-03T09:30:00,1,27,173,2021-09-03T12:23:00,0.4
2021-09-03T12:35:00,1,29.6,157,2021-09-03T14:32:00,0.7
2021-09-03T12:40:00,1,29.8,156,2021-09-03T14:49:00,0.8
2021-09-03T12:45:00,1,30,153,2021-09-03T15:10:00,0.5
2021-09-03T12:50:00,1,30.2,154,2021-09-03T15:32:00,0.4
2021-09-03T12:55:00,1,30,152,2021-09-03T15:45:00,0.4
2021-09-04T09:13:00,1,26.1,82,2021-09-04T11:07:00,0.7
2021-09-04T09:16:00,1,26.3,80,2021-09-04T11:20:00,0.6
2021-09-04T09:17:00,1,26.3,80,2021-09-04T11:37:00,0.6
2021-09-04T09:20:00,1,26.5,78,2021-09-04T12:03:00,0.3
2021-09-04T09:23:00,1,26.4,81,2021-09-04T12:20:00,0.3
2021-09-04T12:36:00,1,30,70,2021-09-04T14:38:00,0.6
2021-09-04T12:40:00,1,30.1,70,2021-09-04T14:54:00,0.4
2021-09-04T12:45:00,1,30.1,68,2021-09-04T15:15:00,0.4
2021-09-04T12:50:00,1,30.1,68,2021-09-04T15:30:00,0.3
2021-09-04T12:54:00,1,30.3,69,2021-09-04T15:44:00,0.2
2021-09-05T09:10:00,1,25.8,84,2021-09-05T11:23:00,0.8
2021-09-05T09:14:00,1,25.8,86,2021-09-05T11:46:00,0.6
2021-09-05T09:18:00,1,26,83,2021-09-05T12:09:00,0.6
2021-09-05T09:23:00,1,26.3,81,2021-09-05T12:18:00,0.6
2021-09-05T09:26:00,1,26.2,81,2021-09-05T12:27:00,0.4
2021-09-05T12:37:00,1,29.4,76,2021-09-05T14:37:00,0.8
2021-09-05T12:42:00,1,29.6,75,2021-09-05T14:51:00,0.5
